Date,Location,Conditions ,Temperature_F,Trappers ,Start_time,End_time,Trap_zone,Species ,Total_weight_g,Bag_weight_g,Sq_weight_g,Sex,Age,PIT_tag_number,Ear_tag_number,Fur_dye,Freeze_brand,Comments
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,A10,SCCA,760,,,F,,,L014,left and right leg,left leg,freeze closer to left hip
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,A11,SCCA,850,,,M,,,R015,2 center middle,"center rump, right leg",scrotal tube slip during right leg freeze
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,C6,SCCA,800,,,M,,,,escaped,right middle,"escaped, slightly scrotal"
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,F3,SCCA,750,,,F,,,L016,"right hip,  right shoulder","right leg, right hip",small nipples
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,All,SCCA,870,,,M,,,R017,"left leg, left shoulder","left leg, left hip",very scrotal
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,F5,SCCA,840,,,F,,,R018,"left middle, right middle","left hip, center rump",small nipples
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,C6,SCCA,790,,,M,,,R019,"center rump, center middle","center rump, center middle",very scrotal
8-Oct-10,SLU campus,"partly cloudy, breezey",65,"Jackie D, ELB, Eddie R, Jessica M",13:40,,C,SCCA,760,,,F,,possibly L14,L16,,,recapture
8-Oct-10,SLU campus,"partly cloudy, breezey",65,"Jackie D, ELB, Eddie R, Jessica M",13:40,,C,SCCA,760,,,F,,"8/B, no 00",L,left knee,left leg,recpature
8-Oct-10,SLU campus,"partly cloudy, breezey",65,"Jackie D, ELB, Eddie R, Jessica M",13:40,,E,SCCA,820,,,M,,,R20,right middle,"left hip, right hip",bloodied nose
8-Oct-10,SLU campus,"partly cloudy, breezey",65,"Jackie D, ELB, Eddie R, Jessica M",13:40,,C,SCCA,740,160,,F,,,,"left leg, left hip","roght middle, right leg",escaped on ear tag
8-Oct-10,SLU campus,"partly cloudy, breezey",65,"Jackie D, ELB, Eddie R, Jessica M",13:40,,E,SCCA,760,,,F,,"8/B, no 00",,without handling ,,
1-Sep-11,JHS,clear,70,"Leah H, Kate A, Eddie R, Andrew S, ELB",9:00,11:30,,SCCA,850,160,690,M,,,R051,,left leg,"released, recapture from '10, probably equals R002, skin too tough for PIT tag, new ear tag"
1-Sep-11,JHS,clear,70,"Leah H, Kate A, Eddie R, Andrew S, ELB",9:00,11:30,Java field,SCCA,800,160,640,F,Sub adult,,,"center rump, center shoulder ","right leg, right hip",escape from ear tag
1-Sep-11,JHS,clear,70,"Leah H, Kate A, Eddie R, Andrew S, ELB",9:00,11:30,,SCCA,720,160,760,F,Adult,,L007,left hip ,center rump,"recapture from '10, nipples pro nooded"
2-Sep-11,JHS,"clear, humid, warm",80,"ELB, Maria H, Kate A, Erin S",15:00,,,,,,,,,,,,,No squirrels 
,,,,,,,,,,,,,,,,,,
